Infraestructura Educativa,,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Escuela,Ubicación,Director,Alumnos,Nivel,Descripción Nivel,Clase,Descripción Clase
12,"Agujas, Las",RS,Primaria Estatal “Enrique Cruz Celis” T/V,"San Antonio (Hilo Matizado) Nº 156, Tel. 38771566,  36368838 y 36855621
",Dir. J. Concepción Guerrero Estrada,,3,Primaria,1,Público
12,"Agujas, Las",RS,Primaria Estatal “Jaime Torres Bodet”  T/M,"San Antonio (Hilo Matizado) Nº 156, Tel. 36560659, 36368838 y 38333057
",Dir. Irene Rodríguez Castillo,,3,Primaria,1,Público
12,"Agujas, Las",RS,CENTRO UNIVERSITARIO DE CIENCIAS BIOLËGICAS Y AGROPECUARIAS,CARRETERA A NOGALES KILOMETRO 15.5,,,6,Universidad,1,Público
12,"Agujas, Las",RS,CENTRO UNIVERSITARIO DE CIENCIAS BIOLËGICAS Y AGROPECUARIAS,CARRETERA A NOGALES KILOMETRO 15.5,,,8,Otros,1,Público
12,"Agujas, Las",RS,"Escuela de Karate ""Shoto Khan""",Hilo Rosa No. 42,,,8,Otros,2,Privado
14,"Alameda, La",6,Inexistente,,,,99,NINGUNO,99,NINGUNO
15,"Alamitos, Los",3,Inexistente,,,,99,NINGUNO,99,NINGUNO
16,Altagracia,3,"Preescolar ""Ma. Concepción Becerra de Celis"" T/M","Av. Industria Textil, Tel. 36856399",Dir. Martha Judith Chavira González,,2,Preescolar,1,Público
16,Altagracia,3,"Preescolar ""José María Morelos y Pavón""","Av. De la Mancha Nº 402, Tel. 36562864",Profa. Teresa Gallegos González,,2,Preescolar,2,Privado
16,Altagracia,3,"Preescolar (General) ""Adolfo López Mateos"" T/M",Av. Industria Textil,,,2,Preescolar,1,Público
16,Altagracia,3,"Preescolar ""Ma. Concepción Becerra de Celis"" T/V","Av. Industria Textil, Tel. 36856399",Dir. Maria de Jesús Gómez Alfaro,,2,Preescolar,1,Público
16,Altagracia,3,"Primaria Estatal ""Hermana República de Haití""  T/V","Av. Real del Monte Nº 247, Tel. 36333964 y 38342070",Dir. Rafael Toscano Castillo,,3,Primaria,1,Público
16,Altagracia,3,Primaria Estatal “Justo Sierra”  T/M,"Av. Real del Monte Nº 247, Tel.36333353 y 36520718",Dir. José Luís Tinoco Mangas,,3,Primaria,1,Público
16,Altagracia,3,"Secundaria Técnica Federal Nº 116, T/M y T/V","Av. Industria Textil Nº 1260, Tel. 36560631",Dir. Sergio Humberto Limón Jaramillo,"1,614",4,Secundaria,1,Público
16,Altagracia,3,"Academia Municpal ""Altagracia""   ","Av. de la Mancha No. 254 Tel. 38182200 Ext. 3865 y 3866
Curso CORTE Y CONFECCIÓN",C. María Victoria Rivera Ramos,,8,Otros,1,Público
17,Altamira,1A,Guardería “José Enrique Rodo”,"Américas Nº 298, Tel. 36368424",Dir. Adriana Jaime Villaseñor,,1,Inicial / Guarderia,2,Privado
17,Altamira,1A,"Guarderia  "" San Jose """,Calle Del Domen y Calle Griegos,,,1,Inicial / Guarderia,,Desconocido
17,Altamira,1A,"Preescola ""Leonardo Da Vinci""",Griegos # 134 Tel. 36.56.58.23,,,2,Preescolar,2,Privado
17,Altamira,1A,"Preescolar ""Jesús Reyes Heroles"" T/M",Circunvalación Medas Nº 314,Dir. María de la Luz Cordero Rodríguez,,2,Preescolar,1,Público
17,Altamira,1A,"Preescolar ""José Enrique Rodo""","Américas Nº 298, Tel. 36368424.",Dir. Adriana Jaime Villaseñor,,2,Preescolar,2,Privado
17,Altamira,1A,"Preescolar ""Instituto Manuel Tolsa"" INPA T/M","Circuito Medas Nª 488-A, Tel. 36566336 y 36736849 ",Dir. Elvia López Ceniceros,,2,Preescolar,2,Privado
17,Altamira,1A,"Preescolar (General) ""Pablo Neruda"" T/M",Dolmen # 299,,,2,Preescolar,2,Privado
17,Altamira,1A,Primaria “Instituto Manuel Tolsa” T/ M INPA,"Circuito Medas Nº 488-A, Tel. 36566464",Dir. Elvira López Ceniceros,,3,Primaria,2,Privado
17,Altamira,1A,Primaria “Juan Bosco” T/M,"Persas Nº 342, Tel. 36333128",Dir. María Concepción Meléndez García,,3,Primaria,2,Privado
17,Altamira,1A,Primaria “Leonardo Da Vinci” T/M,"Griegos Nº 134, Tel. 36565823",Dir. Silvia Patricia Macias Robles,,3,Primaria,2,Privado
17,Altamira,1A,Primaria Federal “Niño Artillero” T/V,Circuito del Menhir y Emiliano Zapata  Tel. 33641482 y 38331897,Dir. José Francisco Santana Ramírez,,3,Primaria,1,Público
17,Altamira,1A,Primaria Federal “Niño Artillero” T/M,Circuito de Menhir y Emiliano Zapata Tel. 36331897,Dir. María de los Ángeles Hernández Meza,,3,Primaria,1,Público
17,Altamira,1A,"Secundaria Técnica Particular ""Manuel Tolsá"" INPAN.    T/M","Circuito Medas Nº 488-A, Tel. 36566464",Dir. Elvira López Ceniceros,,4,Secundaria,2,Privado
18,"Arboleda, La",1A,Preescolar Concepción Becerra de Celis T/M,Andador Paseo de la Arboleda y Av. Tesistán,Dir. Nelda L. Hernández Martínez,,2,Preescolar,1,Público
18,"Arboleda, La",1A,Primaria Estatal “Rosas de la Infancia” T/N,"Paseo de la Arboleda, Tel. 36427448 y 38321512",Dir. Héctor Martín Zataray Llamas,,3,Primaria,1,Público
18,"Arboleda, La",1A,Primaria Estatal “Rosas de la Infancia” T/M,"Paseo de la Arboleda, Tel. 36420582 y 14524408
",Dir. Rosa Elvira Osorio Rubio,,3,Primaria,1,Público
18,"Arboleda, La",1A,Primaria Estatal “Rosas de la Infancia” T/V,"Paseo de la Arboleda, Tel. 36336050 y 36336058",Dir. Blanca Estela Orduña Ríos,,3,Primaria,1,Público
18,"Arboleda, La",1A,HOMEOPAT?A DE GUADALAJARA,GALILEO GALILEI 4131,,,6,Universidad,2,Privado
18,"Arboleda, La",1A,"Academia Municipal  ""Centro Social Arboledas""  ","Sta. Margarita No. 140, Tel. 38182200 Ext. 3865 y 3866
Curso CORTE Y CONFECCIÓN",C. Enedina  Avelar Huizar,,8,Otros,1,Público
18,"Arboleda, La",1A,CENTRO DE ESTUDIOS POLIGLOTA DE MEXICO,AVENIDA NICOLAS COPERNICO 4264,,,8,Otros,2,Privado
19,Arboledas,6,"Guardería "" Colibrí ""","Calle Serpentario, Tel. 36342694",Dir. Patricia Fernández González ,,1,Inicial / Guarderia,2,Privado
19,Arboledas,6,"Jardín de Niños No. 381, T/V","Vega, Tel. 36341267",,,2,Preescolar,1,Público
19,Arboledas,6,Preescolar Jardín de Niños Nº 159,"Vega, Tel. 36341267",Dir. María del Carmen Rivas y Sinsatt,,2,Preescolar,1,Público
19,Arboledas,6,"Preescolar Centro de Desarrollo Integral ""Arboledas""","Cefeo Nº 5641, Tel. 36317460 y 36348144",Dir. Lic. María Obregón Shanal,,2,Preescolar,2,Privado
19,Arboledas,6,"Preescolar ""Colegio Emma Godoy""","Claudio Ptolomeo Nº 5528, Tel. 36314390",Lic. María Bello Serrano,,2,Preescolar,2,Privado
19,Arboledas,6,"Preescolar Desarrollo Infantil ""Elise Freineth""","Sagitario Nº 5560,  Esq. Galileo Tel. 36343315",Lic. Celina Esther Soltero González,,2,Preescolar,2,Privado
19,Arboledas,6,"Preescolar ""Instituto Copérnico""","Nicolás Copérnico Nº 4001, Tel. 36313423",Ing. Enrique Corona Ortíz,,2,Preescolar,2,Privado
19,Arboledas,6,"Preescolar ""Justo Sierra""","Isaac Newton Nº 3857, Tel. 36315815",Mtra. Rafaela Fernam Hernández,,2,Preescolar,2,Privado
19,Arboledas,6,"Preescolar ""Mi gran mundo""",Copérnico No. 3647,,,2,Preescolar,2,Privado
19,Arboledas,6,"PREESCOLAR ""SONRIE"" T/M","CARNERO 5566
",,,2,Preescolar,2,Privado
19,Arboledas,6,"PREESCOLAR ""COLEGIO INGLATERRA"" T/M","AVENIDA MARIANO OTERO 2971
",,,2,Preescolar,2,Privado
19,Arboledas,6,Primaria “Instituto Copérnico”  ,"Nicolás Copérnico Nº 4001, Tel. 36313423",Dir. Martha Beatríz Valle Gallegos.,,3,Primaria,2,Privado
19,Arboledas,6,Primaria   Colegio “Centro de Desarrollo Integral Arboledas”  T/M hasta 3er GRADO,"Calle Cefeo Nº 5461, Tel. 36317460 y 36348144",Dir. Lic. Mauricio Carbalto Ponton,,3,Primaria,2,Privado
19,Arboledas,6,"PRIMARIA ""MARIA LUISA HIDALGO RIESTRA"" T/M","AVENIDA NICOLAS COPERNICO 4128, TEL. 36320237

",,,3,Primaria,2,Privado
19,Arboledas,6,"Secundaría Técnica ""Instituto Copérnico"" T/M","Nicolás Copérnico Nº 4001, Tel. 36313423",Dir. Enrique Corona Ortíz,,4,Secundaria,2,Privado
19,Arboledas,6,"CEDI ""Centro Especializado en Diseño e Informática""","Cefeo No. 5649, Tel. 36203310",,,4,Secundaria,2,Privado
19,Arboledas,6,Secundaria Técnica Federal Nº 45 T/ MAT-VESP,"Isaac Newton Nº 4110, 36318618",Dir.  J. Guadalupe Pérez Rojas,,4,Secundaria,1,Público
19,Arboledas,6,UI (Universidad Internacional) Plantel Arboledas (Semiescolarizado),"Nicolás Copérnico Nº 4440, Tel. 36313762.",Lic. Juan Carlos Cárdenas Cabrera,,5,Educación Media,2,Privado
19,Arboledas,6,Escuela Normal para Educadoras de Guadalajara,Sirio y Corona Boreal,,,6,Universidad,1,Público
19,Arboledas,6,Centro de Interdisiplinario para el Tratamiento e Investigación del Autismo (CITIA),"Vega Nº 5544 (entre Galileo Galilei y Corona Boreal), Tel. 36329623",Prof. Miguel Arías Ramos,131,7,Centro de Educación Especial,1,Público
19,Arboledas,6,Escuela de idiomas Langwish,"Nicolás Copérnico, Tel. 31335833",,,8,Otros,2,Privado
19,Arboledas,6,CENTRO DE CAPACITACION COSMETICA,NICOLAS COPERNICO 4152 Y 4152 A,,,8,Otros,2,Privado
19,Arboledas,6,"Room 4 ""Language Institute""",Serpentario No. 4393,,,8,Otros,2,Privado
20,Arcos de Guadalupe,5A,Comunidad Escolar Millenium A.C.,"Ecónomos y Chaikovsky, Tel. 36281978",,,,Desconocido,2,Privado
20,Arcos de Guadalupe,5A,Nene Pek IMSS,"Administradores, Tel. 36208443",,,1,Inicial / Guarderia,1,Público
20,Arcos de Guadalupe,5A,"Preescolar (General) ""Milenium"" T/M",Tchaikovsky # 581,,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,Summer Hill,Franz Schubert No. 5757 C,,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,"Preescolar ""Villa Educativa Infantil"" T/M",Asesores # 5448,,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,"Preescolar (General) ""Colegio Juana de Arco La Estancia"" T/M",Piotr Ilich Tchaikosvski # 402,,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,"Preescolar ""Jean Piaget""","San Luis Gonzaga Nº 5513, Tel. 36281661.",Profa. Graciela Vázquez Vargas,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,"Preescolar ""Rufino Arrallanes Tamayo""",Tchaikovsky Nº 380,,,2,Preescolar,,Desconocido
20,Arcos de Guadalupe,5A,"Preescolar ""Ateneo José Vasconcelos"" T/M","Prolongación, Agricultores Nº 5325, Tel. 36280349.",Dir. Lic. Josefina Contreras Váladez,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,"Preescolar ""Alexander Neill"" T/M",Robert Shumann # 5786,,,2,Preescolar,2,Privado
20,Arcos de Guadalupe,5A,Primaria “Juana de Arco La Estancia”  T/M,"Av. Piotr Tchaikovski Nº 402, Tel. 36293149",Dir. Irma R. Guerrero Naranjo,,3,Primaria,2,Privado
20,Arcos de Guadalupe,5A,"PRIMARIA ""JEAN PIAGET"" T/M","SAN LUIS GONZAGA 5513
",,,3,Primaria,2,Privado
20,Arcos de Guadalupe,5A,Primaria “Ateneo José Vasconcelos”  T/M,"Prolongación Agricultores Nº 5325, Tel. 36283049 y 36298114",Dir. Encargada Lic. Adareli Viramontes Saldivar,,3,Primaria,2,Privado
20,Arcos de Guadalupe,5A,"PRIMARIA ""CENTRO ESCOLAR SIGLO XXI"" T/M","SAN LUIS GONZAGA 5373
",,,3,Primaria,2,Privado
20,Arcos de Guadalupe,5A,"PRIMARIA ""COLEGIO CAMELOT"" T/M","INDEPENDENCIA 359
",,,3,Primaria,2,Privado
21,Arcos de Zapopan,3,"IMSS ""Cuidado Infantil , Desarrollo y  Atención S. C.""","Arco Alejandro Nº 506 (Arco Caracalla y Arco de Caro), Tel. 38332833 y 38332830",Dir. Blanca Gabriela Lemus Ramos,,1,Inicial / Guarderia,1,Público
21,Arcos de Zapopan,3,"Preescolar ""Valentín Gómez Farías""","Arco Decio Nº 529, Tel. 36567816",Dir. Leticia Barrios Marañon,,2,Preescolar,1,Público
21,Arcos de Zapopan,3,"Preescolar ""Irene Robledo Garcia"" T/M",Carretera a Tesistan # 1197,,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,"Preescolar ""Colegio de Enseñanza Froebel""","Arco Valeriano Nº 500, tel. 36331496.",Mtra. Martha Celia Vela Estrada,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,"Preescolar ""Gabriela Mistral"" T/V","Arco Bizantino, Tel. 36338342",Dir. María Teresa González Ruiz ,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,"Preescolar ""Cuauhtémoc"" T/M USAER","Arco Benavente S/N (Entre Arco Valente y Arco Pertinax), Tel. 36333123, y 38344051",Dir. Manuela Gallego Fernández,,2,Preescolar,1,Público
21,Arcos de Zapopan,3,"Preescolar ""Cuauhtémoc"" T/V ","Arco Benavente S/N (Entre Arco Valente y Arco Pertinax), Tel. 36333123, y 38344051",Dir. Blanca Alicia Gómez Macías,,2,Preescolar,1,Público
21,Arcos de Zapopan,3,"Preescolar ""Juan de Dios Peza"" T/M",Arco Pertinax ,,,2,Preescolar,1,Público
21,Arcos de Zapopan,3,"Preescolar ""Jean Piaget"" T/M",Av Tesistan # 1317,,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,"Preescolar ""Los Niños y su Mundo"" T/M",Arco de la Estrella # 560,,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,Preescolar Gabriela Mistral T/M,Arco Bizantino No. 271 Tel. 36.33.83.42,Lic. Andrea Márquez Villarreal,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,"Preescolar ""Irene Robledo García""","Arco Decio Nº 529, Tel. 36567816",Dir. Marisela Verdejo Cuevas,,2,Preescolar,1,Público
21,Arcos de Zapopan,3,"Preescolar ""Heroes de Chapultepec"" T/M",Anillo Periferico # 481,,,2,Preescolar,2,Privado
21,Arcos de Zapopan,3,"Primaria ""Colegio de Enseñanza Frobel""  T/M","Arco Valeriano Nº 500, Tel 36331496",Dir. Martha Celia Vela Estrada,,3,Primaria,2,Privado
21,Arcos de Zapopan,3,Primaria Federal “Diego Guízar Martínez ó Benito Juárez”  T/N,"Arco Benavente Nº 1826, Tel. 36369282",Dir. Delia Ma. Peña Gómez,,3,Primaria,1,Público
21,Arcos de Zapopan,3,Primaria Federal “María Luisa Gómez Ortega” T/V,"Arco Gótico Nº 489, Tel. 11998359 y 36569831",Dir. Martha Laura Cosío,,3,Primaria,1,Público
21,Arcos de Zapopan,3,"Primaria ""José María Morelos y Pavón""  T/M","Arco de la Estrella Nº 515,  Tel. 36368889",Dir. Teresa Gallegos Gómez,,3,Primaria,2,Privado
21,Arcos de Zapopan,3,Primaria Federal “Alberto Terán” T/M,"Arco Gótico Nº 489, Tel. 11998359 y 36569831",Dir. Efraín Pérez Estrada,,3,Primaria,1,Público
21,Arcos de Zapopan,3,Primaria Federal “Esthela Vargas Gallegos”  T/V,"Arco Benavente Nº 1826, Tel. 36369282",Dir. José de Jesús Guerrero Uribe,366,3,Primaria,1,Público
21,Arcos de Zapopan,3,Primaria Federal “Diego Rivera”  T/M,"Arco Benavente Nº 1826, Tel. 31656062 y 36369282",Dir. Manuel Jiménez Martínez,,3,Primaria,1,Público
21,Arcos de Zapopan,3,Primaria Federal “Ramón López Velarde” T/V,"Arco Druso y Arco Valente, Tel. 36560154",Dir. María Martha Beas Gutiérrez,245,3,Primaria,1,Público
21,Arcos de Zapopan,3,Primaria Federal “Ramón López Velarde” T/M,"Arco Druso y Arco Valente, Tel. 36560154",Dir. Pablo Navarro Gómez,411,3,Primaria,1,Público
21,Arcos de Zapopan,3,"Secundaria Estatal Mixta U. Nº 20, T/M-V","Arco Gótico Nº , 33652314",Dir. Socorro Maravilla Tavlón,,4,Secundaria,1,Público
21,Arcos de Zapopan,3,Preparatoria Nº 7 UdeG,"Tesistán y Papayo, S/N Tel. 36333415 y 36333463",Dir. Mtro. Fernando Gonzàlez Sandoval,,5,Educación Media,1,Público
22,Arenales Tapatíos ,7,"Estancia infatil ""Bosque de los 100 Acres""","Pririta # 39, cruza con Av. Central",,,,Desconocido,,Desconocido
22,Arenales Tapatíos ,7,CAIC DIF,Mercurio No. 1385,,,1,Inicial / Guarderia,1,Público
22,Arenales Tapatíos ,7,"Preescolar ""Centro de Desarrollo Infantil Gandhi"" T/M",Hulla # 94,,,2,Preescolar,2,Privado
22,Arenales Tapatíos ,7,"Preescolar ""Tenamaztli"" T/M y T/V",Cascada,,,2,Preescolar,1,Público
22,Arenales Tapatíos ,7,"Preescolar ""Montessori Ixtepetl"" T/M",Prolongación Melchor Ocampo # 500,,,2,Preescolar,2,Privado
22,Arenales Tapatíos ,7,"Preescolar ""Juan Escutia"" T/M",Mica # 2244,,,2,Preescolar,2,Privado
22,Arenales Tapatíos ,7,"Preescolarn ""Juan de Dios Peza"" T/M",Oro # 88,,,2,Preescolar,2,Privado
22,Arenales Tapatíos ,7,"Preeescolar ""Ovidio decroli""",Gudalupe # 3620,,,2,Preescolar,2,Privado
