Tradiciones,,,
Unidad,Nombre Unidad,Zona Coplademun,Tradición
318,Residencial Moctezuma,6,Sin datos
319,Residencial Moctezuma Poniente,6,Posada del Colegio Pablo Montesinos
322,Residencial Plaza Guadalupe,5A,- Sin datos -
323,Residencial Poniente,4,En el mes de agosto se realiza el desfile de carros alegóricos y el adorno de calles con motivo de los festejos de la Vírgen del Consuelo.
323,Residencial Poniente,4,"En temporada navideña, se cierran algunas calles para la realización de las tradicionales posadas entre los vecinos."
324,Residencial Victoria,6,"Sin datos
"
327,Rinconada Del Iris,8,Sin datos
329,Rinconada del Sol,6,Sin datos
331,Rinconada del Valle,5A,Sin datos
332,Rinconada de la Calma,6,Sin datos
333,Rinconada de la Joya,6,Sin datos
337,Río Blanco,RN,"Sin datos
"
338,Roberto Orozco,RS,Sin datos
339,"Robles, Los",3,Sin datos
340,"Rodeo, El",RS,Sin datos
341,Royal Country,5B,sin datos
343,San Esteban,RN,El 25 de septiembre se celebra el Sr. de las Aguas.
344,San Francisco,1A,Se preparan danzas para el 12 de octubre de cada año.
345,San Isidro Ejidal,1A,Fiesta de San Isidro Labrador.- Se celebra el 15 de mayo 
346,San Isidro Poblado,RN,El 29 de noviembre se celebra El Sr. de la Esperanza.
349,San Juan de Ocotán,4,"Fiesta al Santo Santiago.- Los días 25, 26 y 27 de julio, se lleva a cabo la fiesta en honor a este santo."
349,San Juan de Ocotán,4,"San Juan.- Se celebra el 24 de junio, en la localidad de San Juan de Ocotán. "
349,San Juan de Ocotán,4,"Los días 25, 26 y 27 de julio es tipico la celebración de la danza de los Tastuanes."
350,San Lorenzo,RN,"La Virgen del Refugio, el 4 de julio llega en peregrinación a la capilla y es tradición hospedarla en las casas."
353,San Miguel Tateposco,RN,"3 Mayo dia de cruz la gente sube al cerro donde se encuentra la cruz celebran una misa y despues las familias hacen convi., 2 Nov. dia de la mulas"
356,Santa Ana Tepetitlán,8,Durante el mes de septiembre se realiza la representación tradicional de los Tastoanes.
356,Santa Ana Tepetitlán,8,"Santa Ana.- Durante el mes de julio se realiza un novenario en su memoria, en la localidad de Santa Ana Tepetitlán.  "
356,Santa Ana Tepetitlán,8,Celebración a la Virden de Loreto el 26 de julio
356,Santa Ana Tepetitlán,8,"Fiesta a la Virgen Santa Ana que se celebra el 8 de septiembre.
"
356,Santa Ana Tepetitlán,8,Fiesta de San Isidro Labrador.- Se celebra el 15 de mayo 
357,Santa Catalina,6,Sin datos
360,Santa Lucía,RS,Fiesta de Santa Lucía.- El día 13 de diciembre.  
362,Santa Margarita 2da Sección,4,"Semana Santa.- Durante esta semana, es recordada la Pasión de Cristo con la escenificación del Vía Crucis "
362,Santa Margarita 2da Sección,4,"Ceremonia de colocación de escapularios en el Templo de la Vírgen del Carmen, el 16 de julio."
365,Santa Mónica de los Chorritos,RS,- Inexistente -
369,"Soledad de Nextipac, La",RS,Sin datos
372,Tepeyac Casino,5A,Sin datos
373,Tesistán,RS,Novenario en honor del Santo Patrono San Francisco.- Se realiza el tercer domingo de octubre en el poblado de Tesistán. 
373,Tesistán,RS,"Feria del Elote: Realizada en el mes de agosto, se exponen y ofertan diversos productos derivados del maíz, se realizan charreadas, bailes y desfiles."
373,Tesistán,RS,"Semana Santa.- Durante esta semana, es recordada la Pasión de Cristo con la escenificación del Vía Crucis "
373,Tesistán,RS,"Los principales atractivos de estos festejos son los grupos de danzantes, la quema de castillos y un baile popular que culmina con el novenario."
374,"Tigre I, El",3,Sin datos
376,"Triángulo, El",4,Sin datos
378,Tuzanía Ejidal,4,Sin datos
379,Unidad Auditorio,2A,Fiestas de Octubre
380,Unidad Cadete Francisco Marquez,6,Sin datos
381,Unidad Gustavo Díaz Ordaz,6,En septiembre se realiza el festival patrio y en mayo el festival del día de las madres.
382,Unidad Fovissste (Estatuto Jurídico).,1A,"Se festejan las Fiestas Patrias con Grito, Desfile y Bailables."
388,Valle de Atemajac,2A,Sin datos
389,Valle de Bugambilias,8,Sin datos
392,Valle Escondido,4,Sin datos
394,Venta del Astillero,RS,Sin datos
396,"Vicente Guerrero (ampliación Vicente Guerrero, Rincón)",3,sin datos
404,Villa Puerta del Sol,6,Sin datos
411,Villas La Loma,3,Sin datos
414,Villas de Tepeyac,6,Sin datos
419,Vista del Sol,8,Sin datos
420,Volcán del Colli,5A,Sin datos
421,"Zapote, El   ",6,Sin datos
423,Hospital San Juan de Dios,1B,"A lo largo del año se celebran eventos para los internos, kermeses, actuaciones festivas para las fiestas de Guadalajara y posadas en diciembre "
423,Hospital San Juan de Dios,1B,Cada mes hay un evento musical.
425,"Vinatería, La",,"Día del niño, día de la madre y posadas navideñas."
426,"Noria, La",,Sin datos
427,Quinta Federalismo,,Sin datos
429,Mesón de Copala,,"Se acostumbra en el poblado realizar el desfile conmemorativo de la Revolución Mexicana, los 20 de noviembre."
430,Villas de Nuevo México,,"Se realizan posadas en fin de año, y también una fiesta en el aniversario de la fundación de la misma (3 de septiembre)"
432,Jardines de San Gonzalo,,- Inexistente -
434,Fuentecillas,,Cada año en agosto se realiza una peregrinación hacia Copala el día de la Vírgen del Rosario.
434,Fuentecillas,,"Posadas en la comunidad, en diciembre."
435,"Golondrinas, Las",,- Inexistente -
440,Vistas de Tesistán,,Sin datos
443,Ampliación Santa Lucía,RS,Se desconocen.
446,Revolución,RS,Sin datos
447,"Mirasoles, Los",,-Inexistente-
448,"Providencia, La",,-Inexistente-
449,Villas de Santa Lucía,RS,"En época navideña, los vecinos se organizan para adornar uniformemente la fachada de sus viviendas."
450,"Cerrito, El (de Nextipac)",RS,"Tradiciones ligadas al poblado Nextipac, con el que limita al Norte."
451,Cerca Morada,RS,Sin datos
452,Misión La Floresta,,"Es una colonia creada recientemente, por lo que no se tienen tradiciones arraigadas exclusivas del lugar."
453,Rinconada del Parque,,- Sin datos -
454,Colinas del Río,3,Sin datos
455,Villa Hermosa,RS,Sin datos
456,"Ángeles de Nextipac, Los",RS,Sin datos
457,San Rafael (poblado),RN,Sin datos
458,"Cohetero, El (poblado)",,Sin datos
459,"Quemado, El (poblado)",RN,Sin datos
460,Villas del Valle,3,Sin datos
461,Campo Real,3,Sin datos
462,Bosque Valdepeñas,3,- Inexistente -
463,Hacienda del Sol,3,- Inexistente -
464,Valdepeñas II,3,- Inexistente -
465,Punta Valdepeñas,3,- Inexistente -
466,Real Valdepeñas,3,- Inexistente -
467,Real de Tesistán,,Sin datos
468,Altus Quintas,0,Sin datos
469,Colonos de Tesistán,,Sin datos
470,Real Casablanca,,Sin datos
471,Jardines de las Fuentes,45200,Sin datos
472,Molinos,,Sin datos
473,Extramuro,,Sin datos
474,Parques Tepeyac,0,"Sin datos
"
475,Quinta del bosque,,Sin datos
476,Crucero de Ameca,Zona Rural,Sin datos
477,Miramar Poniente,,Se acostumbra realizar convivencias para unir a los vecinos
478,"Fortín II, El",7,Sin datos
479,Villas del Ixtépete,8,Sin datos
480,Nuevo México Sur,4,Sin datos
481,Anexo a Jardines del Vergel,2A,En diciembre las tradicionales posadas.
482,Lomas Campestres Las Mesitas,RS,Sin datos
483,Mirador de San Isidro Magisterial,3,Sin datos
484,Residencial del Parque Metropolitano,5A,Sin datos
485,Lomas del Pedregal,RN,Sin datos
487,Granjas y Huertos San José,,Sin datos
488,Villas de Monticello,,Sin datos
489,"Pedregal (de Milpillas), El",,En la iglesia de Monticello se realizan periódicamente misas de sanación.
490,"Taray, El",,Sin datos
491,Cabañas de la Barranca,,Sin datos
492,Kilómetro 10 (carr. a Colotlán),,Sin datos
493,Prados de Nextipac,,Sin datos
494,"Soledad de afuera, La",,Sin datos
495,Canteras del Centinela,,Sin datos
496,Parques del Centinela Residencial,,Sin datos
497,San Isidro Residencial,,"Sin datos
"
498,Quintas del Valle,,Sin datos
499,Misión del Valle,,Sin datos
500,"Mandarinos, Los",,Sin datos
501,Viveros del Valle,,Sin datos
502,Rinconadas del Aire,,Sin datos
503,Flores del Valle,,Sin datos
504,Villas Muro Vekio,,Sin datos
505,Puerta la Plata,,Sin datos
506,Jardines de los Pinos,,Sin datos
507,Portales de Santa Ana,,Sin datos
508,Villas Perisur,,Sin datos
509,Villa Bonita,,Inexistente
510,Jardines del Álamo,RS,Sin datos
511,San Gerónimo,RS,Inexistente
512,Villas del Centinela,,Inexistente
513,Unidad Habitacional Los Belenes,,Inexistente
514,Senderos del Centinela,,Sin datos
515,Rinconada de los Sauces,,Sin datos
516,Valle de los Sauces (ó Rinconada San Isidro),,Sin datos
517,Haciendas la Herradura,,Sin datos
518,Valle de Nuevo México,3,Sin datos
519,Bosque de los Encinos,3,Sin datos
520,Bosques de San Gonzalo,3,Sin datos
521,Porta Real,,Sin datos
522,Solares,,Sin datos
523,Altamira (Coto Privado),,Sin datos
524,Santa Catalina Hábitat Residencial,,Sin datos
525,Puerta del Llano,,Sin datos
526,Arauca,,Sin datos
527,Zapote (Nuevo México),3,No se tienen identificadas tradiciones especiales de esta comunidad
528,"Tizate, El",7,Celebración de las posadas en diciembre
529,"Patios, Los",RN,Sin datos
530,Bolsa del Rayo,RN,Sin datos
531,"Cuchilla, La (ó Valle de la Providencia)",RN,Sin datos
532,San Rafael Tercero,RN,Sin datos
533,"Tarjea, La",RN,sin datos
